人釋
地阻
造公
佳山
北機
碣Hannah
受賄
嫌受
石碣
竹空
計小
妻及
黃福
機堡
行賄
用廚
坑洞
該坑
黃妻
集集
頭山
包空
軍用
隘寮
險刺
集吊
荒石
接綠
談陸
陸光
獅頭
蓮調
闢鴻
鴻荒
光營
蔡至
賄案
至哲
坑道
用坑
