為跡
持需
健基
斷觸
鋸下
佈強
司物
翁廷
籍董
歐元
榕是
資遣
漲即
內徘
闆跑
本長
工代
會陳
蓄來
廷榕
元屢
底歇
差形
勁報
勢昭
昭治
滿勞
乏解
字今
慮揮
屢刷
賴花
宿勞
遊街
遣費
勞委
露宿
期操
前週
東日
